"year","familysize","child","threshold"
2019,3,"2","20597.6414263804"
2019,4,"0","26369.5295245399"
2019,4,"1","26800.8526840491"
2019,4,"2","25926.443006135"
2019,4,"3","26016.6287576687"
2019,5,"0","31800.2802147239"
2019,5,"1","32262.9723312883"
2019,5,"2","31274.8501840491"
2019,5,"3","30510.2318558282"
2019,5,"4","30043.6186196319"
2019,6,"0","36576.2039263804"
2019,6,"1","36721.2853527607"
2019,6,"2","35964.5092638037"
2019,6,"3","35239.1021319018"
2019,6,"4","34160.7942331288"
2019,6,"5","33521.6517331288"
2019,7,"0","42085.3770092025"
2019,7,"1","42348.0920245399"
2019,7,"2","41442.3133895706"
2019,7,"3","40811.0131288344"
2019,7,"4","39634.6772392638"
2019,7,"5","38262.2853680982"
2019,7,"6","36756.5754294479"
2019,8,"0","47069.1200613497"
2019,8,"1","47484.7587423313"
2019,8,"2","46629.9546625767"
2019,8,"3","45881.0208128834"
2019,8,"4","44818.397392638"
2019,8,"5","43469.5322392638"
2019,8,"6","42065.7714110429"
2019,8,"7","41708.9495245399"
2019,9,"0","56620.9674846626"
2019,9,"1","56895.4458588957"
2019,9,"2","56138.6697699386"
2019,9,"3","55503.4483895706"
2019,9,"4","54460.4305674847"
2019,9,"5","53025.3007822086"
2019,9,"6","51727.4101840491"
2019,9,"7","51405.8783742331"
2019,9,"8","49425.7129601227"
